domain,label
lordsleep.com,1
livevictoria.com,0
10q2ipg9yeay31ojl2561urcmx3.net,1
spendcroud.tk,1
mm2values.com,0
jira.com,0
slhrmftytnxsu.org,1
leagueapp.net,0
lokalhistoriewiki.no,0
klaudiofashion.com,0
propnexy.com,0
kitchenpowerpopups.com,0
vnpwxsrlruwnfyqpxpq.net,1
humanlady.ws,1
hccfbwqfhxalnf.info,1
ac1afb2a725aa6782bd118869ade3ed8.tk,1
xzist.org,0
1p9nxkmnusxqe1cjf7k2cchz3j.com,1
dreamhalf.info,1
nttbiz.com,0
vbqqclbmylylfusgxstdsgmz.net,1
awsdns-us-gov-13.net,0
xxwdggiswkzswydyhyxtrk.ru,1
whhmwoanhyalyb.info,1
1f20psb6nfsud1jrkj232i72ie.cc,1
gyqmfurkhclcfqpvwwkfo.net,1
zoopornlicking.autos,0
uponrain.tk,1
lytvlbvmlwrt.com,1
joinpeace.org,1
shipworks.com,0
le-couteau.com,0
getspace.us,0
telegraphus.ru,0
dnnxptonbhetrifsect.org,1
14uiifgb467cr1ypbhanqzqnvr.ru,1
google.gf,0
whichsince.info,1
fvgnhoztu.cc,0
fcvyinarrsavejc.com,1
jollycontrarian.com,0
kantetsu.co.jp,0
pjkbibzhozpjvyhhaxzdqolhmdyqk.com,1
notebook-center.ru,0
offeroctover.com,1
19yd8q51eqrmb64820kz9cok88.com,1
forweb.kz,0
shahvani.me,0
kvantron.com,0
15asi75ozb0vxg2z4bw12yi9ic.info,1
bullsonemall.com,0
imqd781o525tosjnsd0ucb7ri.ws,1
purinamills.com,0
obdpjcmlhuhrkstsjdurfy.com,1
3s6i121a54hn54nhbo9hcnsua.net,1
16d0r4j1dge93u1853losn7a92x.net,1
personaldevelopmentschool.com,0
haivuong.com,0
unair.ac.id,0
1bx6h353pe9k6i6o3t140a4ow.cc,1
qoqkajckdcelab.info,1
givewp.com,0
1nqmjan1lry4sn1rwisamf7bs0g.biz,1
hemtrevligt.se,0
ristorantegellius.it,0
offerguess.net,1
taptrivia.com,0
mqynxqbpygfi.org,1
casinozeus40.ws,0
ramtekdns.net,0
hzfyjx.com,0
onegg.site,0
lvdynzzxfebanvdpjjmjcoj.com,1
southhappy.biz,1
vexusdns.com,0
deadcolor.com,1
336475.com,0
xipcam.com,0
livexxxcams.co.uk,0
qt.eu,0
76d1w91okahpy1vx84g86ylmjj.com,1
hiyhinukfigdqqwwnhydmaeuxg.click,1
1gee6e41gq787p1kzz72a1x169rt.com,1
monabgames.com,0
wickmedia.net,0
scdexsejboqgdugedfesoxcp.org,1
spokedont.net,1
jldlrguxxhgyers.net,1
axaclientservices.com,0
baildu.net,0
1xbet-bo3b.top,0
saltgives.net,1
spotsuch.org,1
lottohelden.de,0
woll-e.store,0
threeshirt.biz,1
thecleaningauthority.com,0
vopfhvcytfahsoylhtwdqailr.ru,1
lookbookhq.com,0
creditswater.com,0
138s1hh1341c59s69fy9wwa7fc.cc,1
turkrutv96.com,0
gladnovember.com,1
atmc-dns.com,0
10wsl6c1x9v8sunirl2r11fhbtp.org,1
netflixprize.com,0
xpjtaelztogyjbtnfgagucmvs.biz,1
xnumsnqehbbxepqw.net,1
posterstore.com,0
hutljnivpdrwamrworaexkont.info,1
lnjnlcvcgndbekvwppxpq.ru,1
etn.cz,0
aventusmedical.com,0
