domain,label,category,source_dataset,source_threat,source_label,source_length
ocymmekqogkw.org,1,dga_short_11_15,ExtraHop/DGA-Detection-Training-Dataset,dga,ocymmekqogkw,12
eohcbdibsjoiafxnrvddh.com,1,dga_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,dga,eohcbdibsjoiafxnrvddh,21
deummagdbawse.net,1,dga_short_11_15,ExtraHop/DGA-Detection-Training-Dataset,dga,deummagdbawse,13
vipozacyqexib.info,1,dga_short_11_15,ExtraHop/DGA-Detection-Training-Dataset,dga,vipozacyqexib,13
bankinvestmentaccount.net,0,benign_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,benign,bankinvestmentaccount,21
wmsbdckjyoq.org,1,dga_short_11_15,ExtraHop/DGA-Detection-Training-Dataset,dga,wmsbdckjyoq,11
gmiuawqcygyyecackyo.info,1,dga_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,dga,gmiuawqcygyyecackyo,19
genositaliangrill.org,0,benign_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,benign,genositaliangrill,17
freetoon.org,0,benign_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,benign,freetoon,8
slanty.com,0,benign_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,benign,slanty,6
hkhqursjnuux.net,1,dga_short_11_15,ExtraHop/DGA-Detection-Training-Dataset,dga,hkhqursjnuux,12
mywmkeuoaqkqq.com,1,dga_short_11_15,ExtraHop/DGA-Detection-Training-Dataset,dga,mywmkeuoaqkqq,13
vhtpxyecphru.net,1,dga_short_11_15,ExtraHop/DGA-Detection-Training-Dataset,dga,vhtpxyecphru,12
3tambours.info,0,benign_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,benign,3tambours,9
krkoqdllbumf.com,1,dga_short_11_15,ExtraHop/DGA-Detection-Training-Dataset,dga,krkoqdllbumf,12
aeqcmimdaic.org,1,dga_short_11_15,ExtraHop/DGA-Detection-Training-Dataset,dga,aeqcmimdaic,11
cuxpfrfpwrxpfb.com,1,dga_short_11_15,ExtraHop/DGA-Detection-Training-Dataset,dga,cuxpfrfpwrxpfb,14
7kdunsxyr41y.com,1,dga_short_11_15,ExtraHop/DGA-Detection-Training-Dataset,dga,7kdunsxyr41y,12
ocyyeqowkswicqmmqeiacmkko.com,1,dga_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,dga,ocyyeqowkswicqmmqeiacmkko,25
baruecia.info,0,benign_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,benign,baruecia,8
qexutigeja.org,1,dga_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,dga,qexutigeja,10
mineyourownbusiness.org,0,benign_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,benign,mineyourownbusiness,19
bizanosa.net,0,benign_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,benign,bizanosa,8
a23x3nghmt1hmj3jqbc.org,1,dga_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,dga,a23x3nghmt1hmj3jqbc,19
kqybrklsoyb.org,1,dga_short_11_15,ExtraHop/DGA-Detection-Training-Dataset,dga,kqybrklsoyb,11
aaieomacggoukiscyock.com,1,dga_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,dga,aaieomacggoukiscyock,20
uqutvfvetjuh.info,1,dga_short_11_15,ExtraHop/DGA-Detection-Training-Dataset,dga,uqutvfvetjuh,12
pictet.org,0,benign_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,benign,pictet,6
y4s0507tgr14wnmxy2ex5ng.info,1,dga_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,dga,y4s0507tgr14wnmxy2ex5ng,23
suedennis.info,0,benign_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,benign,suedennis,9
ortho-one.org,0,benign_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,benign,ortho-one,9
iftdfwvlbyxv.org,1,dga_short_11_15,ExtraHop/DGA-Detection-Training-Dataset,dga,iftdfwvlbyxv,12
bestcatanddognutrition.org,0,benign_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,benign,bestcatanddognutrition,22
zjamkcheverolet.info,1,dga_short_11_15,ExtraHop/DGA-Detection-Training-Dataset,dga,zjamkcheverolet,15
iccahelp.info,0,benign_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,benign,iccahelp,8
webemusic.info,0,benign_short_le_10,ExtraHop/DGA-Detection-Training-Dataset,benign,webemusic,9
wkavfvnnwguiyyuxiwzmp.info,1,dga_long_gt_15,ExtraHop/DGA-Detection-Training-Dataset,dga,wkavfvnnwguiyyuxiwzmp,21
