domain,label,source_dataset,source_threat,source_label,source_length,length_band
aaemukos.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,aaemukos,8,dga_le_10
aaioiwske.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,aaioiwske,9,dga_le_10
aaowgcisqy.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,aaowgcisqy,10,dga_le_10
aaueyqmwow.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,aaueyqmwow,10,dga_le_10
aaured8765.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,aaured8765,10,dga_le_10
aauwggous.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,aauwggous,9,dga_le_10
abvoxjzc.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,abvoxjzc,8,dga_le_10
acpywkc.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,acpywkc,7,dga_le_10
acqgffnqxh.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,acqgffnqxh,10,dga_le_10
acspyduggi.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,acspyduggi,10,dga_le_10
aghnvfftz.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,aghnvfftz,9,dga_le_10
agsjdcvs.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,agsjdcvs,8,dga_le_10
agwuiaws.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,agwuiaws,8,dga_le_10
aisdbxdel.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,aisdbxdel,9,dga_le_10
aiwkcc.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,aiwkcc,6,dga_le_10
ajcsuyu.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,ajcsuyu,7,dga_le_10
akaufvyry.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,akaufvyry,9,dga_le_10
akjfetball.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,akjfetball,10,dga_le_10
aogymigm.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,aogymigm,8,dga_le_10
aojeqhlzv.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,aojeqhlzv,9,dga_le_10
aqpeball.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,aqpeball,8,dga_le_10
asactma.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,asactma,7,dga_le_10
asngzttez.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,asngzttez,9,dga_le_10
atllmpyc.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,atllmpyc,8,dga_le_10
auiaajnfo.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,auiaajnfo,9,dga_le_10
aunbpvhe.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,aunbpvhe,8,dga_le_10
awddxijjv.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,awddxijjv,9,dga_le_10
axganxt.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,axganxt,7,dga_le_10
ayvkhyftio.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,ayvkhyftio,10,dga_le_10
azfjofeo.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,azfjofeo,8,dga_le_10
bczcjog.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,bczcjog,7,dga_le_10
beandtjixd.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,beandtjixd,10,dga_le_10
bgpofxoaz.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,bgpofxoaz,9,dga_le_10
bhultcj.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,bhultcj,7,dga_le_10
bifnvuuik.org,1,ExtraHop/DGA-Detection-Training-Dataset,dga,bifnvuuik,9,dga_le_10
bipfbdbt.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,bipfbdbt,8,dga_le_10
birbsi.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,birbsi,6,dga_le_10
bjdqgi.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,bjdqgi,6,dga_le_10
bjnkop.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,bjnkop,6,dga_le_10
bkajmsdwi.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,bkajmsdwi,9,dga_le_10
bnqhhbdl.info,1,ExtraHop/DGA-Detection-Training-Dataset,dga,bnqhhbdl,8,dga_le_10
bozywixve.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,bozywixve,9,dga_le_10
bpauqmwxv.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,bpauqmwxv,9,dga_le_10
bplqstring.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,bplqstring,10,dga_le_10
bpovyxm.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,bpovyxm,7,dga_le_10
bppzolice.com,1,ExtraHop/DGA-Detection-Training-Dataset,dga,bppzolice,9,dga_le_10
bqnipw.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,bqnipw,6,dga_le_10
brsehafjja.net,1,ExtraHop/DGA-Detection-Training-Dataset,dga,brsehafjja,10,dga_le_10
